-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  27.5011   Longitude 77.7034 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 183.91 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
27.50111,77.70341,T2M_MAX,1981,   23.74,   28.93,   32.98,   41.30,   44.05,   45.05,   32.98,   33.49,   36.71,   35.10,   28.27,   24.39,   33.91
27.50111,77.70341,T2M_MAX,1982,   23.15,   24.50,   30.37,   37.67,   38.25,   42.56,   38.93,   31.90,   33.41,   33.16,   28.76,   24.80,   32.32
27.50111,77.70341,T2M_MAX,1983,   22.75,   25.49,   32.73,   35.47,   41.01,   43.03,   38.97,   33.03,   32.66,   32.11,   28.33,   24.23,   32.52
27.50111,77.70341,T2M_MAX,1984,   22.96,   25.96,   36.44,   40.26,   45.77,   44.41,   37.98,   36.06,   31.53,   33.13,   29.07,   25.79,   34.13
27.50111,77.70341,T2M_MAX,1985,   22.92,   29.12,   36.76,   40.17,   44.49,   43.60,   36.39,   33.02,   32.80,   29.29,   27.70,   24.25,   33.38
27.50111,77.70341,T2M_MAX,1986,   22.55,   24.97,   32.68,   40.04,   42.77,   43.24,   36.91,   36.42,   37.88,   35.36,   31.85,   24.35,   34.11
27.50111,77.70341,T2M_MAX,1987,   24.02,   28.56,   34.28,   40.15,   39.57,   45.01,   43.05,   40.71,   39.41,   36.47,   31.95,   26.12,   35.80
27.50111,77.70341,T2M_MAX,1988,   26.22,   29.78,   33.69,   41.94,   45.99,   44.27,   35.60,   32.09,   33.36,   33.34,   29.79,   25.44,   34.28
27.50111,77.70341,T2M_MAX,1989,   23.10,   27.13,   32.97,   39.40,   44.25,   43.52,   39.33,   37.53,   35.94,   36.12,   31.16,   25.42,   34.69
27.50111,77.70341,T2M_MAX,1990,   27.73,   26.28,   31.21,   39.44,   42.74,   43.77,   36.11,   33.02,   32.27,   32.89,   29.75,   25.20,   33.39
27.50111,77.70341,T2M_MAX,1991,   24.41,   28.35,   34.57,   39.29,   44.59,   43.44,   41.47,   34.69,   32.54,   32.63,   28.03,   24.58,   34.08
27.50111,77.70341,T2M_MAX,1992,   24.31,   26.54,   33.32,   38.87,   42.84,   45.23,   38.38,   34.22,   33.60,   33.65,   28.75,   26.33,   33.85
